# id	left	top	right	bottom	texture_id
[SPRITES]
#----------------------------- SMALL ------------------------------
#IDLE RIGHT & LEFT
10011	217	77	228	104	0
10012	177	77	188	104	0

#WALK RIGHT
10041	217	77	228	104	0
10042	255	77	270	104	0

#WALK LEFT
10051	177	77	188	104	0
10052	135	77	150	104	0

#RUN RIGHT - NONE

#RUN MAX SPEED RIGHT
10101	215	157	230	184	0
10102	255	157	270	184	0

#RUN LEFT - NONE

#RUN MAX SPEED LEFT
10111	175	157	190	184	0
10112	135	157	150	184	0

#BRAKE RIGHT & LEFT
10061	216	117	229	144	0
10062	176	117	189	144	0

#JUMP RIGHT & LEFT
10021	335	77	350	104	0
10022	55	77	70	104	0

#JUMP MAX SPEED RIGHT & LEFT
10091	215	197	230	224	0
10092	175	197	190	224	0

#DIE
10031	15	197	30	224	0

#LEVEL UP RIGHT & LEFT
10421	376	77	389	104	0
10422	16	78	29	105	0

#IDLE SHELL RIGHT & LEFT
10441	336	157	349	184	0
10442	56	157	69	184	0

#WALK SHELL RIGHT & LEFT
10451	375	157	390	184	0
10452	15	157	30	184	0

#TURN SHELL
10461	375	117	390	144	0

#KICK SHELL RIGHT & LEFT
10471	255	117	270	144	0
10472	135	117	150	144	0

#----------------------------- BIG ------------------------------

#IDLE RIGHT & LEFT
10121	216	242	229	269	0
10122	176	242	189	269	0

#WALK RIGHT
10131	216	242	229	269	0
10132	255	242	270	269	0
10133	295	244	310	269	0

#WALK LEFT
10141	176	242	189	269	0
10142	135	242	150	269	0
10143	95	244	110	269	0

#RUN RIGHT (10131 - 10133)

#RUN LEFT (10141 - 10143)

#RUN MAX SPEED RIGHT
10171	212	322	231	349	0
10172	252	322	271	349	0
10173	292	324	311	349	0

#RUN MAX SPEED LEFT
10181	174	322	193	349	0
10182	134	322	153	349	0
10183	94	324	113	349	0

#JUMP RIGHT & LEFT
10191	335	244	350	269	0
10192	55	244	70	268	0

#JUMP MAX SPEED RIGHT & LEFT
10201	332	364	351	389	0
10202	54	364	73	389	0

#FALL RIGHT (10133)

#FALL LEFT (10143)

#SIT RIGHT & LEFT
10231	376	238	389	265	0
10232	16	238	29	265	0

#BRAKE RIGHT & LEFT
10241	215	283	230	310	0
10242	175	283	190	310	0

#LEVEL UP
10431	224	0	239	15	30
10432	240	0	255	15	30
10433	192	0	207	15	30
10434	208	0	223	15	30

#LEVEL DOWN - NONE

#IDLE SHELL RIGHT & LEFT
10481	331	322	344	349	0
10482	61	322	74	349	0

#WALK SHELL RIGHT
10491	355	322	370	349	0
10492	380	322	395	349	0

#WALK SHELL LEFT
10501	35	322	50	349	0
10502	12	322	27	349	0

#TURN SHELL
10511	375	282	390	309	0

#KICK SHELL RIGHT & LEFT
10521	251	282	272	309	0
10522	133	282	154	309	0

#----------------------------- RACCOON ------------------------------
#IDLE RIGHT & LEFT
10251	211	443	232	470	0
10252	173	443	194	470	0

#WALK RIGHT
10261	211	443	232	470	0
10262	262	443	283	470	0
10263	290	443	313	470	0

#WALK LEFT
10271	173	443	194	470	0
10272	122	443	143	470	0
10273	92	443	115	470	0

#RUN RIGHT (10261 - 10263)

#RUN LEFT (10271 - 10273)

#RUN MAX SPEED RIGHT
10301	211	523	234	550	0
10302	251	523	274	550	0
10303	291	523	314	550	0

#RUN MAX SPEED LEFT
10311	171	523	194	550	0
10312	131	523	154	550	0
10313	91	523	114	550	0

#JUMP RIGHT & LEFT
10321	330	443	353	470	0
10322	52	443	75	470	0

#FALL RIGHT & LEFT
10331	210	603	233	630	0
10332	172	603	195	630	0

#QUACK TAIL RIGHT
10341	252	603	273	630	0
10342	290	443	313	470	0
10343	210	603	233	630	0

#QUACK TAIL LEFT
10351	132	603	153	630	0
10352	92	443	115	470	0
10353	172	603	195	630	0

#JUMP MAX SPEED RIGHT & LEFT
10361	291	603	314	630	0
10362	91	603	114	630	0

#FALL MAX SPEED RIGHT & LEFT
10371	331	603	354	630	0
10372	51	603	74	630	0

#FLY RIGHT
10381	291	693	314	630	0
10382	371	603	394	630	0
10383	331	603	354	630	0

#FLY LEFT
10391	91	603	114	630	0
10392	11	603	34	630	0
10393	51	603	74	630	0

#SIT RIGHT & LEFT
10401	372	438	393	465	0
10402	12	438	33	465	0

#BRAKE RIGHT & LEFT
10411	215	482	230	511	0
